StartSampleID,Hour,Min,Sec,Lat,Lng,Alt,Sats,Speed_kph
0,11,20,57,51.618383,-3.881922,22.3,5,4.96
48,11,20,58,51.618411,-3.881888,19.1,5,6.39
97,11,20,59,51.618404,-3.881896,20.4,5,5.19
146,11,21,0,51.618408,-3.881877,19.9,5,4.30
195,11,21,1,51.618404,-3.881866,20.6,5,4.69
244,11,21,2,51.618396,-3.881851,20.5,5,4.69
293,11,21,3,51.618389,-3.881829,20.8,5,6.59
342,11,21,4,51.618390,-3.881808,21.0,5,6.41
391,11,21,5,51.618385,-3.881794,21.8,5,3.30
440,11,21,6,51.618390,-3.881765,21.5,5,6.93
489,11,21,7,51.618396,-3.881739,21.2,5,6.30
538,11,21,8,51.618396,-3.881718,21.1,5,5.61
587,11,21,9,51.618398,-3.881703,21.1,5,4.00
636,11,21,10,51.618402,-3.881690,21.0,5,3.15
685,11,21,11,51.618400,-3.881681,21.4,5,3.11
734,11,21,12,51.618403,-3.881661,20.6,5,4.35
783,11,21,13,51.618414,-3.881632,19.9,5,5.50
832,11,21,14,51.618413,-3.881606,21.1,5,5.76
881,11,21,15,51.618414,-3.881588,20.1,5,4.69
930,11,21,16,51.618406,-3.881571,19.8,5,5.61
979,11,21,17,51.618408,-3.881546,19.7,5,5.89
1028,11,21,18,51.618409,-3.881530,19.3,5,3.98
1077,11,21,19,51.618411,-3.881510,18.7,5,3.94
1126,11,21,20,51.618414,-3.881493,18.2,5,4.46
1175,11,21,21,51.618418,-3.881479,17.5,5,3.65
1224,11,21,22,51.618420,-3.881461,17.1,5,4.33
1273,11,21,23,51.618423,-3.881443,16.3,5,4.24
1322,11,21,24,51.618431,-3.881426,15.3,5,5.20
1371,11,21,25,51.618432,-3.881413,14.4,5,3.41
1420,11,21,26,51.618434,-3.881400,14.0,5,3.06
1421,11,21,26,51.618434,-3.881400,14.0,5,3.06
1470,11,21,28,51.618411,-3.881372,14.5,5,3.98
1519,11,21,29,51.618405,-3.881349,15.1,5,4.57
1568,11,21,30,51.618411,-3.881328,15.4,5,4.46
1617,11,21,31,51.618416,-3.881307,15.5,5,4.87
1666,11,21,32,51.618422,-3.881287,15.5,5,5.46
1715,11,21,33,51.618429,-3.881265,15.2,5,5.41
1764,11,21,34,51.618435,-3.881242,15.1,5,5.11
1813,11,21,35,51.618440,-3.881231,15.0,5,2.74
1862,11,21,36,51.618445,-3.881212,15.4,5,4.22
1911,11,21,37,51.618451,-3.881190,16.4,5,4.44
1960,11,21,38,51.618452,-3.881165,17.7,5,4.32
2009,11,21,39,51.618452,-3.881145,17.6,5,4.41
2058,11,21,40,51.618453,-3.881121,17.8,5,5.15
2107,11,21,41,51.618453,-3.881098,18.7,5,4.02
2156,11,21,42,51.618451,-3.881076,19.7,5,4.26
2205,11,21,43,51.618450,-3.881056,19.1,5,4.82
2254,11,21,44,51.618446,-3.881032,19.7,5,5.02
2303,11,21,45,51.618442,-3.881013,19.3,5,4.78
2352,11,21,46,51.618442,-3.880992,19.6,5,4.98
2401,11,21,47,51.618455,-3.880971,19.6,5,4.94
2450,11,21,48,51.618439,-3.880954,19.3,5,4.43
2499,11,21,49,51.618440,-3.880934,20.3,5,4.24
2548,11,21,50,51.618443,-3.880909,21.1,5,5.15
2597,11,21,51,51.618457,-3.880892,20.4,5,4.65
2646,11,21,52,51.618451,-3.880864,22.7,5,5.11
2695,11,21,53,51.618449,-3.880851,25.5,5,2.46
2744,11,21,54,51.618446,-3.880840,25.2,5,3.00
2793,11,21,55,51.618449,-3.880809,26.6,5,6.22
2842,11,21,56,51.618458,-3.880772,28.9,5,7.63
2843,11,21,57,51.618461,-3.880752,28.9,5,6.15
2885,11,21,59,51.618459,-3.880706,28.7,5,5.83
2934,11,22,0,51.618459,-3.880689,28.6,5,5.04
2983,11,22,1,51.618464,-3.880669,29.6,5,4.30
3032,11,22,2,51.618471,-3.880650,29.7,5,4.52
3081,11,22,3,51.618473,-3.880632,29.7,5,4.52
3130,11,22,4,51.618476,-3.880612,29.6,5,5.15
3179,11,22,5,51.618481,-3.880589,30.0,5,5.80
3228,11,22,6,51.618485,-3.880559,30.8,5,6.78
3277,11,22,7,51.618491,-3.880529,31.3,5,7.15
3326,11,22,8,51.618498,-3.880506,28.6,5,7.52
3375,11,22,9,51.618502,-3.880480,28.4,5,6.91
3424,11,22,10,51.618512,-3.880463,28.1,5,5.32
3473,11,22,11,51.618515,-3.880445,28.0,5,4.61
3522,11,22,12,51.618518,-3.880429,28.2,5,3.80
3571,11,22,13,51.618530,-3.880418,28.0,5,3.32
3620,11,22,14,51.618538,-3.880406,27.4,5,3.82
3669,11,22,15,51.618534,-3.880392,26.7,5,3.72
3718,11,22,16,51.618532,-3.880369,26.6,5,5.72
3767,11,22,17,51.618539,-3.880348,24.8,5,6.61
3816,11,22,18,51.618542,-3.880317,25.2,5,7.41
3865,11,22,19,51.618547,-3.880286,25.4,5,7.70
3914,11,22,20,51.618555,-3.880260,25.7,5,6.80
3963,11,22,21,51.618556,-3.880242,24.7,5,5.30
4012,11,22,22,51.618562,-3.880230,24.1,5,4.41
4061,11,22,23,51.618568,-3.880218,23.7,5,3.28
4110,11,22,24,51.618576,-3.880205,22.4,5,3.82
4159,11,22,25,51.618581,-3.880186,22.6,5,4.28
4208,11,22,26,51.618586,-3.880164,22.8,5,4.91
4257,11,22,27,51.618589,-3.880139,23.4,5,5.24
4258,11,22,27,51.618589,-3.880139,23.4,5,5.24
4307,11,22,29,51.618591,-3.880086,23.9,5,6.50
4356,11,22,30,51.618589,-3.880057,24.3,5,6.44
4405,11,22,31,51.618581,-3.880028,25.4,5,6.43
4454,11,22,32,51.618584,-3.880001,25.4,5,6.09
4503,11,22,33,51.618593,-3.879982,25.3,6,5.00
4552,11,22,34,51.618595,-3.879974,24.5,6,3.20
4601,11,22,35,51.618601,-3.879963,24.4,6,3.06
4650,11,22,36,51.618602,-3.879949,24.2,6,3.17
4699,11,22,37,51.618606,-3.879931,24.3,6,3.56
4748,11,22,38,51.618609,-3.879907,24.5,6,4.96
4797,11,22,39,51.618615,-3.879875,24.8,6,6.57
4846,11,22,40,51.618617,-3.879844,25.0,6,6.95
4895,11,22,41,51.618620,-3.879821,25.0,6,6.54
4944,11,22,42,51.618623,-3.879800,24.5,6,5.59
4993,11,22,43,51.618623,-3.879783,24.1,6,4.15
5042,11,22,44,51.618624,-3.879767,23.5,6,3.59
5091,11,22,45,51.618626,-3.879751,23.6,6,3.46
5140,11,22,46,51.618626,-3.879735,23.6,6,3.72
5189,11,22,47,51.618627,-3.879715,23.8,6,4.43
5238,11,22,48,51.618627,-3.879692,24.0,6,5.07
5287,11,22,49,51.618627,-3.879660,24.5,6,7.06
